### single symbol backtest metrics ###

update: 2023-09-11

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp           average daily gain, recent data weighted heavier
adg_per_exp             average daily gain for whole backtest
exp_rts_mean            exposure ratios mean: average wallet exposure during backtest
time_at_max_exp         ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max           how many hours in a stretch with no fills
pa_dist_mean            price action distance mean: the average distance between position price and market price
pa_dist_std             price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean mean of 1% highest pa_dist_mean
loss_profit_rt          loss to profit ratio: abs(sum(losses)) / sum(profit)
n_days                  backtest number of days
score                   used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | pa_dist_1pct_worst_mean | loss_profit_rt | n_days  | score         |
| QNTUSDT       | 0.001194      | 0.001005    | 0.1239       | 0.05834         | 57.3          | 0.00837      | 0.008379    | 0.0463                  | 0.02448        | 324.89  | 1297211.49881 |
| ALGOUSDT      | 0.001185      | 0.001763    | 0.0762       | 0.03946         | 44.88         | 0.01336      | 0.01535     | 0.09264                 | 0.02846        | 1181.62 | 1297211.49881 |
| ALPHAUSDT     | 0.001179      | 0.001467    | 0.09796      | 0.04576         | 58.57         | 0.01896      | 0.02302     | 0.1484                  | 0.0692         | 1020.71 | 1297211.49882 |
| BANDUSDT      | 0.001179      | 0.001761    | 0.06718      | 0.03037         | 78.08         | 0.01366      | 0.01541     | 0.09332                 | 0.009195       | 1138.71 | 1297211.49882 |
| BLZUSDT       | 0.001176      | 0.001769    | 0.08262      | 0.03341         | 73.48         | 0.0197       | 0.02307     | 0.1483                  | 0.02201        | 1088.7  | 1297211.49882 |
| NEARUSDT      | 0.001174      | 0.00184     | 0.1235       | 0.07837         | 33.85         | 0.01761      | 0.02318     | 0.1377                  | 0.04684        | 1060.66 | 1297211.49883 |
| EGLDUSDT      | 0.001148      | 0.001597    | 0.07289      | 0.03462         | 53.05         | 0.01047      | 0.01592     | 0.1116                  | 0.007337       | 1091.71 | 1297211.49885 |
| OPUSDT        | 0.001149      | 0.001981    | 0.1277       | 0.07009         | 59.42         | 0.01655      | 0.01691     | 0.09677                 | 0.04981        | 465.41  | 1297211.49885 |
| SKLUSDT       | 0.001136      | 0.001769    | 0.08456      | 0.04135         | 46.62         | 0.01866      | 0.02188     | 0.1419                  | 0.03734        | 1005.68 | 1297211.49886 |
| FTMUSDT       | 0.00113       | 0.002003    | 0.09533      | 0.05473         | 60.3          | 0.01574      | 0.02352     | 0.1431                  | 0.0856         | 1081.71 | 1297211.49887 |
| ONTUSDT       | 0.001118      | 0.001229    | 0.09642      | 0.04034         | 42.25         | 0.01887      | 0.02236     | 0.1475                  | 0.038          | 1307.66 | 1297211.49888 |
| COTIUSDT      | 0.001121      | 0.002484    | 0.09492      | 0.04054         | 21.7          | 0.01174      | 0.0133      | 0.09725                 | 0.05038        | 913.71  | 1297211.49888 |
| XEMUSDT       | 0.001108      | 0.00134     | 0.079        | 0.02923         | 62.97         | 0.01552      | 0.01906     | 0.1303                  | 0.08834        | 920.71  | 1297211.49889 |
| DEFIUSDT      | 0.001109      | 0.001387    | 0.1217       | 0.05964         | 84.02         | 0.0189       | 0.02045     | 0.1228                  | 0.08748        | 1108.71 | 1297211.49889 |
| XTZUSDT       | 0.001098      | 0.001306    | 0.09807      | 0.03949         | 66.8          | 0.0168       | 0.02006     | 0.129                   | 0.03338        | 1312.66 | 1297211.4989  |
| ETCUSDT       | 0.001092      | 0.001824    | 0.08485      | 0.04721         | 71.38         | 0.01456      | 0.01781     | 0.1044                  | 0.03938        | 1333.66 | 1297211.49891 |
| XMRUSDT       | 0.001093      | 0.001404    | 0.1474       | 0.07486         | 57.87         | 0.01247      | 0.01893     | 0.1319                  | 0.05092        | 1315.66 | 1297211.49891 |
| EOSUSDT       | 0.001073      | 0.001619    | 0.1408       | 0.07798         | 51.33         | 0.01432      | 0.02116     | 0.1449                  | 0.05815        | 1341.66 | 1297211.49893 |
| AXSUSDT       | 0.001064      | 0.001386    | 0.08914      | 0.03781         | 90.3          | 0.01889      | 0.02087     | 0.1291                  | 0.06512        | 1023.7  | 1297211.49894 |
| MKRUSDT       | 0.001056      | 0.001955    | 0.07407      | 0.03029         | 44.88         | 0.01416      | 0.02117     | 0.1202                  | 0.05257        | 1123.71 | 1297211.49894 |
| SANDUSDT      | 0.001052      | 0.001711    | 0.0727       | 0.03319         | 70.3          | 0.01733      | 0.02137     | 0.147                   | 0.04922        | 957.71  | 1297211.49895 |
| AVAXUSDT      | 0.001047      | 0.002055    | 0.08408      | 0.0493          | 60.13         | 0.01145      | 0.01522     | 0.1017                  | 0.02477        | 1082.71 | 1297211.49895 |
| CKBUSDT       | 0.001048      | 0.001091    | 0.12         | 0.06631         | 38.58         | 0.01495      | 0.02111     | 0.1188                  | 0.03041        | 193.5   | 1297211.49895 |
| JASMYUSDT     | 0.001037      | 0.001004    | 0.07673      | 0.03142         | 28.93         | 0.01425      | 0.01501     | 0.08729                 | 0.05002        | 507.85  | 1297211.49896 |
| 1000LUNCUSDT  | 0.00104       | 0.001994    | 0.1188       | 0.06327         | 49.07         | 0.01223      | 0.01478     | 0.1042                  | 0.04903        | 365.46  | 1297211.49896 |
| CTKUSDT       | 0.001043      | 0.002069    | 0.09571      | 0.03737         | 20.58         | 0.01011      | 0.01207     | 0.08326                 | 0.06802        | 1024.71 | 1297211.49896 |
| LINKUSDT      | 0.001036      | 0.001976    | 0.0935       | 0.05524         | 54.27         | 0.01309      | 0.022       | 0.1377                  | 0.04332        | 1332.66 | 1297211.49896 |
| CRVUSDT       | 0.001028      | 0.001468    | 0.07695      | 0.03866         | 51.02         | 0.01959      | 0.02218     | 0.1314                  | 0.06056        | 1104.71 | 1297211.49897 |
| OGNUSDT       | 0.001031      | 0.001663    | 0.0903       | 0.02135         | 51.83         | 0.01946      | 0.01793     | 0.09611                 | 0.0715         | 891.71  | 1297211.49897 |
| TRBUSDT       | 0.001018      | 0.001514    | 0.07619      | 0.03068         | 70.15         | 0.01958      | 0.01847     | 0.1012                  | 0.07139        | 1102.71 | 1297211.49898 |
| SNXUSDT       | 0.0009994     | 0.002245    | 0.06653      | 0.03585         | 64.12         | 0.01649      | 0.0229      | 0.145                   | 0.05764        | 1122.7  | 1297211.499   |
| 1INCHUSDT     | 0.0009901     | 0.001801    | 0.06345      | 0.04316         | 71.7          | 0.008085     | 0.01459     | 0.08175                 | 0.03381        | 988.58  | 1297211.49901 |
| SUSHIUSDT     | 0.0009755     | 0.0009958   | 0.0493       | 0.01195         | 48.63         | 0.01739      | 0.01817     | 0.09397                 | 0.0245         | 1101.71 | 1297211.49902 |
| AAVEUSDT      | 0.0009644     | 0.001479    | 0.09005      | 0.05013         | 73.3          | 0.01595      | 0.02146     | 0.1339                  | 0.04665        | 1059.71 | 1297211.49904 |
| QTUMUSDT      | 0.0009566     | 0.001231    | 0.07855      | 0.03593         | 85.15         | 0.01687      | 0.02237     | 0.1496                  | 0.035          | 1298.66 | 1297211.49904 |
| LITUSDT       | 0.0009625     | 0.001195    | 0.09382      | 0.04734         | 45.32         | 0.01993      | 0.02402     | 0.1336                  | 0.07188        | 933.71  | 1297211.49904 |
| MANAUSDT      | 0.0009304     | 0.001535    | 0.08239      | 0.03352         | 77.03         | 0.01542      | 0.0182      | 0.1119                  | 0.04178        | 908.71  | 1297211.49907 |
| PEOPLEUSDT    | 0.0009281     | 0.001292    | 0.0691       | 0.02007         | 50.53         | 0.01813      | 0.01709     | 0.09711                 | 0.07104        | 624.83  | 1297211.49907 |
| SXPUSDT       | 0.0008958     | 0.001258    | 0.06453      | 0.02169         | 69.62         | 0.01997      | 0.0189      | 0.09774                 | 0.05021        | 1146.62 | 1297211.4991  |
| ICXUSDT       | 0.0009012     | 0.001339    | 0.07935      | 0.03732         | 42.43         | 0.01212      | 0.01577     | 0.1132                  | 0.01832        | 1090.71 | 1297211.4991  |
| BNBUSDT       | 0.0008904     | 0.001332    | 0.08968      | 0.04712         | 92.62         | 0.01351      | 0.02277     | 0.1482                  | 0.07914        | 1308.66 | 1297211.49911 |
| APEUSDT       | 0.0008852     | 0.001207    | 0.1233       | 0.08142         | 56.32         | 0.01473      | 0.01628     | 0.08795                 | 0.06251        | 541.37  | 1297211.49911 |
