### single symbol backtest metrics ###

update: 2023-09-11

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp           average daily gain, recent data weighted heavier
adg_per_exp             average daily gain for whole backtest
exp_rts_mean            exposure ratios mean: average wallet exposure during backtest
time_at_max_exp         ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max           how many hours in a stretch with no fills
pa_dist_mean            price action distance mean: the average distance between position price and market price
pa_dist_std             price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean mean of 1% highest pa_dist_mean
loss_profit_rt          loss to profit ratio: abs(sum(losses)) / sum(profit)
n_days                  backtest number of days
score                   used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | pa_dist_1pct_worst_mean | loss_profit_rt | n_days  | score         |
| ICPUSDT       | 0.001071      | 0.001283    | 0.1256       | 0.02012         | 120.7         | 0.01167      | 0.01174     | 0.06673                 | 0.07727        | 347.88  | 1297211.49893 |
| KSMUSDT       | 0.001066      | 0.001644    | 0.05101      | 0.03218         | 88.43         | 0.01297      | 0.01646     | 0.105                   | 0.01883        | 1061.67 | 1297211.49893 |
| GALAUSDT      | 0.00106       | 0.001807    | 0.05402      | 0.03394         | 94.67         | 0.00866      | 0.01089     | 0.06724                 | 0.07138        | 721.83  | 1297211.49894 |
| LQTYUSDT      | 0.001058      | 0.002375    | 0.08519      | 0.03383         | 81.7          | 0.01603      | 0.01417     | 0.09871                 | 0.008377       | 183.46  | 1297211.49894 |
| ZILUSDT       | 0.001057      | 0.002293    | 0.05918      | 0.03257         | 76.0          | 0.009867     | 0.01642     | 0.1011                  | 0.01078        | 1179.58 | 1297211.49894 |
| ZENUSDT       | 0.001053      | 0.002102    | 0.08219      | 0.01765         | 133.4         | 0.01581      | 0.02017     | 0.147                   | 0.08589        | 1019.67 | 1297211.49895 |
| RUNEUSDT      | 0.001048      | 0.00264     | 0.07373      | 0.03343         | 133.6         | 0.01295      | 0.02343     | 0.1481                  | 0.02501        | 1101.67 | 1297211.49895 |
| ALICEUSDT     | 0.001037      | 0.002654    | 0.09238      | 0.03373         | 115.6         | 0.0148       | 0.01623     | 0.1172                  | 0.02832        | 907.83  | 1297211.49896 |
| CTKUSDT       | 0.001022      | 0.003253    | 0.08475      | 0.03033         | 127.0         | 0.01204      | 0.01653     | 0.1252                  | 0.02188        | 1024.67 | 1297211.49898 |
| CRVUSDT       | 0.001007      | 0.00209     | 0.04569      | 0.02493         | 126.3         | 0.01722      | 0.02241     | 0.1475                  | 0.03297        | 1104.67 | 1297211.49899 |
| MINAUSDT      | 0.001007      | 0.00163     | 0.08773      | 0.05302         | 81.05         | 0.01271      | 0.0223      | 0.1346                  | 0.03738        | 214.5   | 1297211.49899 |
| IMXUSDT       | 0.00101       | 0.001891    | 0.07807      | 0.03336         | 126.9         | 0.01575      | 0.01494     | 0.08236                 | 0.05406        | 575.83  | 1297211.49899 |
| ICXUSDT       | 0.00101       | 0.001849    | 0.07984      | 0.03977         | 143.2         | 0.0167       | 0.0208      | 0.1422                  | 0.07056        | 1090.67 | 1297211.49899 |
| RSRUSDT       | 0.0009867     | 0.001606    | 0.06555      | 0.01278         | 139.9         | 0.0184       | 0.017       | 0.1023                  | 0.07327        | 1056.67 | 1297211.49901 |
