### single symbol backtest metrics ###

update: 2023-10-01

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp           average daily gain, recent data weighted heavier
adg_per_exp             average daily gain for whole backtest
exp_rts_mean            exposure ratios mean: average wallet exposure during backtest
time_at_max_exp         ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max           how many hours in a stretch with no fills
pa_dist_mean            price action distance mean: the average distance between position price and market price
pa_dist_std             price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean mean of 1% highest pa_dist_mean
loss_profit_rt          loss to profit ratio: abs(sum(losses)) / sum(profit)
n_days                  backtest number of days
score                   used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | pa_dist_1pct_worst_mean | loss_profit_rt | n_days  | score         |
| THETAUSDT     | 0.0009108     | 0.002347    | 0.07903      | 0.01649         | 130.3         | 0.0144       | 0.02175     | 0.1394                  | 0.03872        | 1220.67 | 1297211.49909 |
| ZENUSDT       | 0.0009044     | 0.001894    | 0.09277      | 0.01689         | 120.8         | 0.01608      | 0.02389     | 0.1481                  | 0.06383        | 1038.71 | 1297211.4991  |
| NEARUSDT      | 0.0008983     | 0.002252    | 0.09412      | 0.05809         | 89.23         | 0.01396      | 0.02498     | 0.1379                  | 0.04111        | 1078.67 | 1297211.4991  |
| ICXUSDT       | 0.0008972     | 0.001905    | 0.1195       | 0.05216         | 141.7         | 0.01556      | 0.01879     | 0.1463                  | 0.07471        | 1108.71 | 1297211.4991  |
| ARBUSDT       | 0.0008985     | 0.001193    | 0.07661      | 0.02079         | 126.6         | 0.01045      | 0.009793    | 0.05449                 | 0.01741        | 190.38  | 1297211.4991  |
| RSRUSDT       | 0.0008933     | 0.001501    | 0.05778      | 0.02024         | 122.1         | 0.01824      | 0.02107     | 0.1233                  | 0.02743        | 1074.71 | 1297211.49911 |
| ALICEUSDT     | 0.0008868     | 0.00232     | 0.08109      | 0.03013         | 72.07         | 0.01287      | 0.02143     | 0.1289                  | 0.08279        | 927.88  | 1297211.49911 |
| GALUSDT       | 0.0008753     | 0.002048    | 0.1293       | 0.04008         | 128.2         | 0.01968      | 0.02571     | 0.146                   | 0.09088        | 512.42  | 1297211.49912 |
| AGIXUSDT      | 0.0008763     | 0.001759    | 0.14         | 0.03899         | 74.98         | 0.01584      | 0.01945     | 0.128                   | 0.0461         | 225.42  | 1297211.49912 |
| YFIUSDT       | 0.0008796     | 0.003419    | 0.05377      | 0.01876         | 135.4         | 0.01244      | 0.01618     | 0.1129                  | 0.029          | 1123.71 | 1297211.49912 |
| BLZUSDT       | 0.0008818     | 0.001302    | 0.06139      | 0.01291         | 115.4         | 0.01936      | 0.02252     | 0.1248                  | 0.02285        | 1106.71 | 1297211.49912 |
| GMXUSDT       | 0.0008806     | 0.001008    | 0.09882      | 0.031           | 90.75         | 0.01471      | 0.01263     | 0.05666                 | 0.02025        | 224.42  | 1297211.49912 |
| SUIUSDT       | 0.0008774     | 0.001542    | 0.1237       | 0.04184         | 63.45         | 0.01276      | 0.01395     | 0.1036                  | 0.04151        | 149.33  | 1297211.49912 |
| AXSUSDT       | 0.0008748     | 0.002582    | 0.1061       | 0.04847         | 108.7         | 0.0155       | 0.02569     | 0.1465                  | 0.03791        | 1042.71 | 1297211.49913 |
| CELOUSDT      | 0.0008634     | 0.001614    | 0.1491       | 0.07857         | 122.1         | 0.01613      | 0.02213     | 0.1386                  | 0.06361        | 732.88  | 1297211.49914 |
| HIGHUSDT      | 0.0008533     | 0.001897    | 0.1041       | 0.06012         | 85.93         | 0.01854      | 0.02423     | 0.1425                  | 0.07253        | 234.92  | 1297211.49915 |
| GALAUSDT      | 0.0008535     | 0.00195     | 0.07721      | 0.04476         | 53.25         | 0.01061      | 0.02074     | 0.1332                  | 0.03872        | 741.88  | 1297211.49915 |
| IMXUSDT       | 0.0008375     | 0.001708    | 0.06863      | 0.03314         | 47.0          | 0.009569     | 0.01429     | 0.08915                 | 0.01981        | 595.88  | 1297211.49916 |
| ETCUSDT       | 0.0008314     | 0.001693    | 0.0723       | 0.02908         | 140.7         | 0.01112      | 0.02264     | 0.1412                  | 0.05624        | 1352.67 | 1297211.49917 |
| MATICUSDT     | 0.000833      | 0.002377    | 0.07708      | 0.02924         | 134.0         | 0.01329      | 0.0213      | 0.133                   | 0.01482        | 1071.71 | 1297211.49917 |
| LINAUSDT      | 0.000822      | 0.001325    | 0.06079      | 0.01942         | 113.2         | 0.01951      | 0.0227      | 0.1467                  | 0.03682        | 924.71  | 1297211.49918 |
| UNIUSDT       | 0.0008189     | 0.001803    | 0.05296      | 0.01684         | 141.2         | 0.01185      | 0.0146      | 0.08672                 | 0.05095        | 1105.71 | 1297211.49918 |
| AAVEUSDT      | 0.0008025     | 0.001932    | 0.07029      | 0.03445         | 118.4         | 0.01462      | 0.02123     | 0.1418                  | 0.01869        | 1077.71 | 1297211.4992  |
| FTMUSDT       | 0.0007997     | 0.002       | 0.05902      | 0.01705         | 92.87         | 0.01275      | 0.01838     | 0.1111                  | 0.01852        | 1099.71 | 1297211.4992  |
| BLURUSDT      | 0.0007933     | 0.001327    | 0.05998      | 0.02076         | 83.98         | 0.008753     | 0.008765    | 0.05596                 | 0.04583        | 154.5   | 1297211.49921 |
